param,true_value,rel_std_CV,verdict
lambdaC,0.85,0.000202991,IDENT
etaRC,1.5,0.000636432,IDENT
eps13,1,0.00168627,IDENT
epsC,0.8,0.0016924,IDENT
epsM,0.6,0.00224388,IDENT
kappaBM,0.5,0.00267603,IDENT
kappaBC,0.5,0.00289787,IDENT
kappaRC,0.5,0.00325296,IDENT
kappaR,0.4,0.00336614,IDENT
etaBM,1.35,0.00359124,IDENT
etaBC,1.5,0.00393882,IDENT
lambda5,1.3,0.00437966,IDENT
rho5,1.1,0.00646207,IDENT
W,1.5,0.00676972,IDENT
lambdaP,1.6,0.00678429,IDENT
kappaB13,0.5,0.00695203,IDENT
epsR,0.4,0.00735285,IDENT
etaB13,0.95,0.0100367,IDENT
kappa5,0.5,0.0115008,IDENT
eta13,0.75,0.0117779,IDENT
kappa13,0.55,0.0133478,IDENT
kappaM13,0.5,0.0134479,IDENT
kappaM,0.5,0.021043,IDENT
etaM13,0.55,0.0224494,IDENT
eps5,1.2,0.0255364,IDENT
etaR,2.5,0.0276995,IDENT
aM,0.18,0.0277074,IDENT
a5,0.15,0.0305729,IDENT
deltaP1,3.5,0.0332261,IDENT
thetaP,0.5,0.0332261,IDENT
a13,0.18,0.0373575,IDENT
etaM,2.5,0.0374601,IDENT
rhoB,1.1,0.0389559,IDENT
epsP,1,0.060337,IDENT
rho13,1.3,0.0660845,IDENT
aC,0.08,0.0762654,IDENT
