param,true_value,rel_std_CV,verdict
lambdaC,0.85,0.000199396,IDENT
etaBM,1.35,0.000334852,IDENT
etaBC,1.5,0.000344458,IDENT
kappaBM,0.5,0.000520632,IDENT
kappaBC,0.5,0.000524453,IDENT
etaRC,1.5,0.000556987,IDENT
deltaP1,3.5,0.000655019,IDENT
eps13,1,0.001533,IDENT
epsC,0.8,0.00161741,IDENT
kappaB13,0.5,0.00187181,IDENT
thetaP,0.75,0.00196514,IDENT
W,1,0.0021344,IDENT
etaB13,0.95,0.00223457,IDENT
eta13,0.75,0.00227558,IDENT
epsM,0.6,0.00227668,IDENT
lambda5,1.3,0.00235434,IDENT
aM,0.18,0.0026474,IDENT
lambdaP,1.6,0.00272682,IDENT
kappaR,0.4,0.00304018,IDENT
kappaRC,0.5,0.00311389,IDENT
kappaM13,0.5,0.00325002,IDENT
kappa13,0.55,0.00346156,IDENT
rho5,1.1,0.0035597,IDENT
rhoB,1.1,0.00432104,IDENT
kappa5,0.5,0.00444335,IDENT
epsP,1,0.0046075,IDENT
rho13,1.3,0.00499711,IDENT
etaR,2.5,0.00567432,IDENT
etaM13,0.55,0.00592663,IDENT
epsR,0.4,0.00663788,IDENT
a13,0.18,0.00677088,IDENT
etaM,2.5,0.00696306,IDENT
eps5,1.2,0.00734285,IDENT
kappaM,0.5,0.00751432,IDENT
aC,0.08,0.0107066,IDENT
a5,0.15,0.0113494,IDENT
