param,true_value,rel_std_CV,verdict
deltaP1,3.5,5.351e-16,IDENT
lambdaC,0.85,0.000195783,IDENT
etaBM,1.35,0.000226894,IDENT
etaBC,1.5,0.000241196,IDENT
thetaP,1,0.000306448,IDENT
kappaBC,0.5,0.00035663,IDENT
kappaBM,0.5,0.000361516,IDENT
etaRC,1.5,0.000450857,IDENT
aM,0.18,0.00107307,IDENT
rho5,1.1,0.00154155,IDENT
etaB13,0.95,0.00156074,IDENT
kappaB13,0.5,0.00168605,IDENT
eps13,1,0.00176455,IDENT
W,0.8,0.00176729,IDENT
eta13,0.75,0.00181246,IDENT
epsC,0.8,0.0020833,IDENT
kappaR,0.4,0.00233059,IDENT
rho13,1.3,0.00238631,IDENT
kappaM13,0.5,0.00258286,IDENT
epsP,1,0.00262519,IDENT
etaR,2.5,0.00265579,IDENT
lambdaP,1.6,0.00280659,IDENT
kappaRC,0.5,0.00287002,IDENT
etaM,2.5,0.00289754,IDENT
epsM,0.6,0.00294506,IDENT
rhoB,1.1,0.00308703,IDENT
a13,0.18,0.00337859,IDENT
etaM13,0.55,0.00402434,IDENT
kappaM,0.5,0.0045841,IDENT
kappa13,0.55,0.00483856,IDENT
lambda5,1.3,0.00508446,IDENT
eps5,1.2,0.00516776,IDENT
epsR,0.4,0.00625304,IDENT
a5,0.15,0.00916035,IDENT
kappa5,0.5,0.00927351,IDENT
aC,0.08,0.0100239,IDENT
