param,true_value,rel_std_CV,verdict
lambdaC,0.85,0.000204704,IDENT
etaRC,1.5,0.000660557,IDENT
eps13,1,0.00174179,IDENT
epsC,0.8,0.0018054,IDENT
epsM,0.6,0.00241365,IDENT
kappaRC,0.5,0.00326636,IDENT
kappaR,0.4,0.0033092,IDENT
kappaBM,0.5,0.0046351,IDENT
kappaBC,0.5,0.00508387,IDENT
lambda5,1.3,0.00547664,IDENT
etaBM,1.35,0.00733582,IDENT
epsR,0.4,0.0074614,IDENT
etaBC,1.5,0.00815289,IDENT
rho5,1.1,0.00958856,IDENT
W,2,0.00998976,IDENT
lambdaP,1.6,0.012257,IDENT
kappa5,0.5,0.0168067,IDENT
eta13,0.75,0.0235935,IDENT
kappa13,0.55,0.023966,IDENT
kappaM,0.5,0.0251582,IDENT
eps5,1.2,0.0323734,IDENT
kappaB13,0.5,0.0331424,IDENT
etaR,2.5,0.0348239,IDENT
a5,0.15,0.0371231,IDENT
etaM,2.5,0.0473662,IDENT
kappaM13,0.5,0.0516908,IDENT
aM,0.18,0.0555189,IDENT
thetaP,0.25,0.0560622,IDENT
etaB13,0.95,0.0566441,IDENT
a13,0.18,0.0596323,IDENT
etaM13,0.55,0.0889576,IDENT
rhoB,1.1,0.131942,IDENT
aC,0.08,0.154235,IDENT
deltaP1,3.5,0.168193,IDENT
epsP,1,0.18037,IDENT
rho13,1.3,0.205433,IDENT
