param,true_value,null_participation,soft_participation,verdict
lambdaC,0.85,0.0000,0.0053,IDENT
kappaBM,0.5,0.0000,0.0959,IDENT
kappaBC,0.5,0.0000,0.1103,IDENT
etaBM,1.35,0.0000,0.1275,IDENT
etaBC,1.5,0.0000,0.1395,IDENT
etaRC,1.5,0.0000,0.1727,IDENT
epsC,0.8,0.0000,0.1967,IDENT
eps13,1,0.0000,0.2356,IDENT
epsM,0.6,0.0000,0.2445,IDENT
kappaB13,0.5,0.0000,0.3181,IDENT
lambda5,1.3,0.0000,0.3354,IDENT
kappaR,0.4,0.0000,0.3450,IDENT
W,1.5,0.0000,0.3953,IDENT
etaB13,0.95,0.0000,0.4642,IDENT
etaR,2.5,0.0000,0.5378,WEAK
lambdaP,1.6,0.0000,0.5774,WEAK
epsP,1,0.0000,0.7756,WEAK
eta13,0.75,0.0000,0.8155,WEAK
etaM,2.5,0.0000,0.8347,WEAK
kappa5,0.5,0.0000,0.8466,WEAK
rho13,1.3,0.0000,0.8517,WEAK
etaM13,0.55,0.0000,0.8635,WEAK
rhoB,1.1,0.0000,0.8646,WEAK
kappa13,0.55,0.0000,0.9139,WEAK
rho5,1.1,0.0000,0.9478,WEAK
eps5,1.2,0.0000,0.9521,WEAK
a5,0.15,0.0000,0.9540,WEAK
kappaM13,0.5,0.0000,0.9631,WEAK
kappaRC,0.5,0.0000,0.9647,WEAK
kappaM,0.5,0.0000,0.9715,WEAK
a13,0.18,0.0000,0.9806,WEAK
aM,0.18,0.0000,0.9857,WEAK
epsR,0.4,0.0000,0.9914,WEAK
aC,0.08,0.0000,0.9979,WEAK
thetaP,0.5,0.7071,0.3667,NON-IDENT
deltaP1,3.5,0.7071,0.3667,NON-IDENT
