param,true_value,null_participation,soft_participation,verdict
lambdaC,0.85,0.0000,0.0076,IDENT
etaBM,1.35,0.0000,0.0706,IDENT
etaBC,1.5,0.0000,0.1133,IDENT
kappaBM,0.5,0.0000,0.1134,IDENT
kappaBC,0.5,0.0000,0.1155,IDENT
etaRC,1.5,0.0000,0.1783,IDENT
eps13,1,0.0000,0.2149,IDENT
kappaB13,0.5,0.0000,0.2985,IDENT
kappaR,0.4,0.0000,0.3295,IDENT
epsC,0.8,0.0000,0.3501,IDENT
W,1,0.0000,0.3817,IDENT
etaB13,0.95,0.0000,0.4059,IDENT
lambda5,1.3,0.0000,0.4408,IDENT
eta13,0.75,0.0000,0.4622,IDENT
etaR,2.5,0.0000,0.4935,IDENT
kappaM13,0.5,0.0000,0.4941,IDENT
kappa13,0.55,0.0000,0.6060,WEAK
lambdaP,1.6,0.0000,0.6292,WEAK
aM,0.18,0.0000,0.6438,WEAK
etaM,2.5,0.0000,0.6795,WEAK
kappaM,0.5,0.0000,0.7250,WEAK
rhoB,1.1,0.0000,0.7537,WEAK
epsM,0.6,0.0000,0.8105,WEAK
rho5,1.1,0.0000,0.8125,WEAK
rho13,1.3,0.0000,0.8163,WEAK
a13,0.18,0.0000,0.8297,WEAK
etaM13,0.55,0.0000,0.8459,WEAK
epsP,1,0.0000,0.8653,WEAK
kappa5,0.5,0.0000,0.8676,WEAK
kappaRC,0.5,0.0000,0.8841,WEAK
a5,0.15,0.0000,0.9583,WEAK
eps5,1.2,0.0000,0.9718,WEAK
epsR,0.4,0.0000,0.9926,WEAK
aC,0.08,0.0000,0.9935,WEAK
thetaP,0.75,0.3162,0.3189,WEAK
deltaP1,3.5,0.9487,0.1063,NON-IDENT
