param,true_value,null_participation,soft_participation,verdict
lambdaC,0.85,0.0000,0.0052,IDENT
etaBM,1.35,0.0000,0.1309,IDENT
kappaBM,0.5,0.0000,0.1338,IDENT
kappaBC,0.5,0.0000,0.1377,IDENT
etaBC,1.5,0.0000,0.1400,IDENT
epsC,0.8,0.0000,0.1652,IDENT
etaRC,1.5,0.0000,0.1805,IDENT
eps13,1,0.0000,0.2252,IDENT
epsM,0.6,0.0000,0.2581,IDENT
lambda5,1.3,0.0000,0.2770,IDENT
kappaB13,0.5,0.0000,0.3070,IDENT
W,2,0.0000,0.3136,IDENT
kappaR,0.4,0.0000,0.3510,IDENT
etaB13,0.95,0.0000,0.4758,IDENT
etaR,2.5,0.0000,0.5359,WEAK
etaM,2.5,0.0000,0.8313,WEAK
eta13,0.75,0.0000,0.8432,WEAK
rhoB,1.1,0.0000,0.8605,WEAK
epsP,1,0.0000,0.8620,WEAK
etaM13,0.55,0.0000,0.8681,WEAK
kappa13,0.55,0.0000,0.9159,WEAK
eps5,1.2,0.0000,0.9213,WEAK
rho13,1.3,0.0000,0.9214,WEAK
lambdaP,1.6,0.0000,0.9378,WEAK
kappa5,0.5,0.0000,0.9390,WEAK
rho5,1.1,0.0000,0.9490,WEAK
a5,0.15,0.0000,0.9522,WEAK
kappaRC,0.5,0.0000,0.9673,WEAK
kappaM,0.5,0.0000,0.9697,WEAK
kappaM13,0.5,0.0000,0.9735,WEAK
a13,0.18,0.0000,0.9820,WEAK
aM,0.18,0.0000,0.9874,WEAK
epsR,0.4,0.0000,0.9879,WEAK
aC,0.08,0.0000,0.9981,WEAK
deltaP1,3.5,0.3162,0.5717,WEAK
thetaP,0.25,0.9487,0.1906,NON-IDENT
