param,true_value,null_participation,soft_participation,verdict
lambdaC,0.85,0.0000,0.0023,IDENT
etaBC,1.5,0.0000,0.0374,IDENT
kappaBC,0.5,0.0000,0.0605,IDENT
etaRC,1.5,0.0000,0.0622,IDENT
etaBM,1.35,0.0000,0.0678,IDENT
kappaBM,0.5,0.0000,0.0957,IDENT
eps13,1,0.0000,0.2137,IDENT
epsC,0.8,0.0000,0.2392,IDENT
kappaB13,0.5,0.0000,0.2927,IDENT
kappaR,0.4,0.0000,0.3290,IDENT
kappaRC,0.5,0.0000,0.3775,IDENT
W,1,0.0000,0.3830,IDENT
etaB13,0.95,0.0000,0.4049,IDENT
lambda5,1.3,0.0000,0.4377,IDENT
eta13,0.75,0.0000,0.4598,IDENT
kappaM13,0.5,0.0000,0.4825,IDENT
etaR,2.5,0.0000,0.4856,IDENT
kappa13,0.55,0.0000,0.6007,WEAK
aM,0.18,0.0000,0.6021,WEAK
lambdaP,1.6,0.0000,0.6216,WEAK
etaM,2.5,0.0000,0.6560,WEAK
kappaM,0.5,0.0000,0.7188,WEAK
rhoB,1.1,0.0000,0.7564,WEAK
rho5,1.1,0.0000,0.7762,WEAK
rho13,1.3,0.0000,0.7989,WEAK
epsM,0.6,0.0000,0.8087,WEAK
a13,0.18,0.0000,0.8154,WEAK
etaM13,0.55,0.0000,0.8454,WEAK
kappa5,0.5,0.0000,0.8720,WEAK
epsP,1,0.0000,0.8864,WEAK
a5,0.15,0.0000,0.9582,WEAK
aC,0.08,0.0000,0.9696,WEAK
eps5,1.2,0.0000,0.9729,WEAK
epsR,0.4,0.0000,0.9931,WEAK
thetaP,0.75,0.3162,0.3221,WEAK
deltaP1,3.5,0.9487,0.1074,NON-IDENT
