param,true_value,null_participation,soft_participation,verdict
lambdaC,0.85,0.0000,0.0058,IDENT
etaBC,1.5,0.0000,0.0325,IDENT
etaBM,1.35,0.0000,0.0424,IDENT
kappaBC,0.5,0.0000,0.0609,IDENT
kappaBM,0.5,0.0000,0.0911,IDENT
etaRC,1.5,0.0000,0.1014,IDENT
thetaP,1,0.0000,0.1473,IDENT
kappaR,0.4,0.0000,0.3106,IDENT
kappaB13,0.5,0.0000,0.3339,IDENT
etaB13,0.95,0.0000,0.3907,IDENT
kappaRC,0.5,0.0000,0.3913,IDENT
aM,0.18,0.0000,0.4364,IDENT
etaR,2.5,0.0000,0.4946,IDENT
W,0.8,0.0000,0.5438,WEAK
lambdaP,1.6,0.0000,0.5606,WEAK
lambda5,1.3,0.0000,0.5831,WEAK
eta13,0.75,0.0000,0.6055,WEAK
a13,0.18,0.0000,0.6877,WEAK
rho5,1.1,0.0000,0.7119,WEAK
etaM,2.5,0.0000,0.7479,WEAK
rho13,1.3,0.0000,0.7508,WEAK
kappaM13,0.5,0.0000,0.7768,WEAK
kappa13,0.55,0.0000,0.7985,WEAK
rhoB,1.1,0.0000,0.8273,WEAK
eps13,1,0.0000,0.8310,WEAK
etaM13,0.55,0.0000,0.8575,WEAK
kappa5,0.5,0.0000,0.8616,WEAK
kappaM,0.5,0.0000,0.9235,WEAK
epsP,1,0.0000,0.9404,WEAK
a5,0.15,0.0000,0.9706,WEAK
aC,0.08,0.0000,0.9708,WEAK
epsM,0.6,0.0000,0.9733,WEAK
epsC,0.8,0.0000,0.9775,WEAK
eps5,1.2,0.0000,0.9850,WEAK
epsR,0.4,0.0000,0.9984,WEAK
deltaP1,3.5,1.0000,0.0000,NON-IDENT
