param,true_value,null_participation,soft_participation,verdict
lambdaC,0.85,0.0000,0.0049,IDENT
etaBM,1.35,0.0000,0.1309,IDENT
kappaBM,0.5,0.0000,0.1337,IDENT
etaBC,1.5,0.0000,0.1397,IDENT
kappaBC,0.5,0.0000,0.1413,IDENT
epsC,0.8,0.0000,0.1682,IDENT
etaRC,1.5,0.0000,0.1808,IDENT
eps13,1,0.0000,0.2243,IDENT
epsM,0.6,0.0000,0.2685,IDENT
lambda5,1.3,0.0000,0.2760,IDENT
kappaB13,0.5,0.0000,0.3051,IDENT
W,2,0.0000,0.3134,IDENT
kappaR,0.4,0.0000,0.3515,IDENT
etaB13,0.95,0.0000,0.4757,IDENT
etaR,2.5,0.0000,0.5355,WEAK
etaM,2.5,0.0000,0.8319,WEAK
eta13,0.75,0.0000,0.8434,WEAK
rhoB,1.1,0.0000,0.8598,WEAK
epsP,1,0.0000,0.8630,WEAK
etaM13,0.55,0.0000,0.8682,WEAK
kappa13,0.55,0.0000,0.9155,WEAK
eps5,1.2,0.0000,0.9234,WEAK
rho13,1.3,0.0000,0.9217,WEAK
kappa5,0.5,0.0000,0.9349,WEAK
lambdaP,1.6,0.0000,0.9373,WEAK
rho5,1.1,0.0000,0.9478,WEAK
a5,0.15,0.0000,0.9522,WEAK
kappaRC,0.5,0.0000,0.9672,WEAK
kappaM,0.5,0.0000,0.9697,WEAK
kappaM13,0.5,0.0000,0.9734,WEAK
a13,0.18,0.0000,0.9820,WEAK
aM,0.18,0.0000,0.9874,WEAK
epsR,0.4,0.0000,0.9881,WEAK
aC,0.08,0.0000,0.9981,WEAK
deltaP1,3.5,0.3162,0.5725,WEAK
thetaP,0.25,0.9487,0.1908,NON-IDENT
