param,rel_sensitivity,sens_frac_of_max,recov_err_pct_mean,identifiable,apriori,err_Normal,err_Early Adenoma,err_Advanced Adenoma,err_Severe APC Loss
lambdaC,13.324002,0.597164,0.1873,YES,identifiable,0.1288,0.2775,0.0018,0.3411
kappaBC,6.381400,0.286006,4.2702,YES,identifiable,0.4077,1.7040,2.0413,12.9277
etaBC,18.593428,0.833333,4.9102,YES,identifiable,4.8485,4.5247,4.1514,6.1163
etaR,9.172553,0.411102,7.8672,MARGINAL,identifiable,4.1992,4.6934,9.0398,13.5364
etaBM,22.312113,1.000000,8.6124,MARGINAL,identifiable,0.5766,11.4232,12.2087,10.2409
etaM,6.849857,0.307002,8.8742,MARGINAL,identifiable,8.1939,4.3926,8.1827,14.7276
etaM13,5.799554,0.259928,11.1217,MARGINAL,identifiable,11.4993,24.9174,0.9555,7.1146
lambdaP,4.027473,0.180506,11.5061,MARGINAL,identifiable,14.8539,2.5620,13.6211,14.9875
kappaBM,7.657680,0.343207,14.8545,MARGINAL,identifiable,23.4036,6.9183,13.2915,15.8044
etaRC,7.207809,0.323045,15.4158,MARGINAL,identifiable,11.5761,15.0235,16.3508,18.7129
kappa13,2.170960,0.097300,16.4534,MARGINAL,identifiable,6.3560,7.8220,24.3345,27.3012
etaB13,9.420670,0.422222,17.4248,MARGINAL,identifiable,19.6677,23.3021,15.9486,10.7810
kappaM13,1.640405,0.073521,18.3907,MARGINAL,identifiable,18.1066,34.5101,18.5977,2.3484
kappaM,2.007794,0.089987,18.9518,MARGINAL,identifiable,16.2815,17.2229,20.8979,21.4050
eps13,0.115355,0.005170,20.6791,NO,non-ident,27.1330,25.6524,16.2664,13.6647
W,15.815494,0.708830,25.1429,NO,identifiable,22.2663,3.2097,30.6355,44.4600
deltaP1,1.719463,0.077064,25.8107,NO,identifiable,20.1902,15.0925,28.6154,39.3447
lambda5,4.073013,0.182547,29.2801,NO,identifiable,43.3878,31.7399,25.2771,16.7154
aC,1.235732,0.055384,30.6221,NO,identifiable,36.0081,33.6331,27.5336,25.3139
rho13,1.938628,0.086887,35.5202,NO,identifiable,51.8901,0.8010,36.5052,52.8845
kappaB13,3.233243,0.144910,36.1839,NO,identifiable,71.2318,45.5760,11.2870,16.6408
epsC,0.207459,0.009298,42.2687,NO,non-ident,81.2769,37.2027,21.4024,29.1930
eta13,7.960524,0.356780,45.5312,NO,identifiable,9.1861,3.5373,56.1748,113.2267
epsM,0.102728,0.004604,51.3492,NO,non-ident,61.7554,49.1613,43.6322,50.8477
thetaP,8.003423,0.358703,54.0723,NO,identifiable,26.5653,11.5424,28.0672,150.1143
rhoB,1.286893,0.057677,55.0507,NO,identifiable,51.9945,2.5482,55.6914,109.9687
a13,2.224317,0.099691,59.0085,NO,identifiable,48.8397,62.9724,59.8620,64.3599
kappaR,5.393615,0.241735,60.3431,NO,identifiable,57.8967,61.3875,62.2628,59.8255
rho5,1.327913,0.059515,63.5769,NO,identifiable,36.7984,78.5310,76.3651,62.6132
kappaRC,4.525849,0.202843,63.9922,NO,identifiable,53.3241,59.7104,69.5218,73.4125
aM,3.707195,0.166152,72.8235,NO,identifiable,76.6285,83.7477,68.6780,62.2398
kappa5,1.271731,0.056997,78.1455,NO,identifiable,57.2796,72.5799,84.5495,98.1731
epsP,0.130558,0.005851,99.4058,NO,non-ident,162.0057,73.0833,77.5861,84.9479
a5,1.544665,0.069230,128.6423,NO,identifiable,138.3703,127.3379,123.6593,125.2018
eps5,0.105623,0.004734,131.4486,NO,non-ident,134.4160,128.8404,131.9311,130.6068
epsR,0.165530,0.007419,150.6764,NO,non-ident,204.1228,162.0177,128.2362,108.3290
