param,rel_sensitivity,sens_frac_of_max,recov_err_pct_mean,identifiable,apriori,err_Normal,err_Early adenoma,err_Cancer-like,err_Strong APC-mutant
lambdaC,12.113338,0.555567,0.4873,YES,identifiable,0.1726,0.2371,0.8027,0.7369
etaM13,5.659886,0.259585,6.9608,MARGINAL,identifiable,12.9115,9.9873,2.7045,2.2399
etaRC,6.935453,0.318088,8.6244,MARGINAL,identifiable,0.8153,10.4570,11.1507,12.0745
etaBC,18.169647,0.833333,12.4157,MARGINAL,identifiable,2.7827,5.6104,15.5588,25.7108
deltaP1,1.673868,0.076770,13.0715,MARGINAL,identifiable,31.7132,5.3621,10.0164,5.1944
eps5,0.109929,0.005042,13.5449,MARGINAL,non-ident,21.6228,4.7491,23.4871,4.3205
a5,1.505947,0.069069,14.8313,MARGINAL,identifiable,8.5209,4.2660,34.2760,12.2623
kappa13,2.110117,0.096778,15.5158,MARGINAL,identifiable,7.5073,1.9821,14.7592,37.8146
eps13,0.113771,0.005218,22.6896,NO,non-ident,24.5855,29.4822,21.4006,15.2901
kappaBC,6.199337,0.284327,23.2855,NO,identifiable,22.2671,0.3031,23.2780,47.2938
lambda5,3.948611,0.181099,23.7290,NO,identifiable,6.1899,23.9392,33.9918,30.7950
etaB13,9.205955,0.422222,28.4935,NO,identifiable,11.7288,18.8975,33.6836,49.6640
kappaBM,7.439204,0.341192,32.5694,NO,identifiable,22.9621,30.7912,29.1272,47.3971
etaBM,21.803576,1.000000,33.8416,NO,identifiable,2.4080,26.5499,49.1778,57.2309
kappaB13,3.140997,0.144059,38.3212,NO,identifiable,38.3878,41.1338,24.9912,48.7719
etaR,8.854617,0.406108,40.6862,NO,identifiable,40.6657,49.3186,32.3119,40.4485
rho13,1.877158,0.086094,42.8986,NO,identifiable,87.0631,24.8717,38.0629,21.5968
rho5,1.275335,0.058492,43.1008,NO,identifiable,56.5738,35.2004,38.0450,42.5840
W,15.446015,0.708417,48.0066,NO,identifiable,23.3651,39.3128,54.0772,75.2714
kappaRC,4.460982,0.204599,49.9094,NO,identifiable,55.7345,45.6463,49.4454,48.8112
kappa5,1.224723,0.056171,54.6822,NO,identifiable,6.5965,24.6059,75.5901,111.9365
epsC,0.211272,0.009690,55.4032,NO,non-ident,116.2459,41.3435,31.0628,32.9605
kappaM13,1.593175,0.073069,58.7732,NO,identifiable,20.9817,57.5086,80.5920,76.0107
thetaP,7.719466,0.354046,61.3491,NO,identifiable,34.1313,9.0538,33.6810,168.5304
epsM,0.101927,0.004675,63.5458,NO,non-ident,53.9848,63.0162,66.9304,70.2517
kappaR,5.327834,0.244356,70.1246,NO,identifiable,101.5204,66.8887,58.2317,53.8576
lambdaP,3.920568,0.179813,77.5312,NO,identifiable,70.8984,87.5158,79.8576,71.8529
eta13,7.766235,0.356191,78.4938,NO,identifiable,16.0548,25.0490,90.3170,182.5543
etaM,6.626190,0.303904,80.4382,NO,identifiable,88.7316,88.2480,67.8697,76.9036
rhoB,1.252387,0.057440,94.4332,NO,identifiable,59.3350,31.8071,65.4224,221.1684
kappaM,1.934952,0.088745,96.5330,NO,identifiable,95.0241,98.2553,94.2881,98.5647
epsP,0.128713,0.005903,127.3360,NO,non-ident,330.3350,72.4379,59.5998,46.9711
a13,2.168563,0.099459,128.7905,NO,identifiable,67.5108,72.7479,135.4132,239.4901
aC,1.204757,0.055255,260.9861,NO,identifiable,5.1186,0.9346,417.5200,620.3713
aM,3.614272,0.165765,268.9367,NO,identifiable,83.0617,214.0319,354.2548,424.3983
epsR,0.159470,0.007314,275.8154,NO,non-ident,353.7695,278.4399,249.8772,221.1751
