param,rel_sensitivity,sens_frac_of_max,recov_err_pct_mean,identifiable,apriori,err_Normal,err_Early Adenoma,err_Advanced Adenoma,err_Severe APC Loss
lambdaC,12.392978,0.567804,0.3332,YES,identifiable,0.2859,0.3763,0.2269,0.4436
etaRC,7.018366,0.321558,8.7584,MARGINAL,identifiable,0.9734,10.8870,10.3628,12.8104
etaM13,5.669754,0.259769,10.7978,MARGINAL,identifiable,11.6651,18.3218,2.5858,10.6187
etaBC,18.188457,0.833333,11.5684,MARGINAL,identifiable,2.7022,4.6407,13.1867,25.7438
kappa13,2.117348,0.097010,12.0933,MARGINAL,identifiable,4.8776,2.5117,7.5303,33.4535
deltaP1,1.682173,0.077071,13.8889,MARGINAL,identifiable,30.4833,3.5915,12.1331,9.3478
eps5,0.109708,0.005026,13.9662,MARGINAL,non-ident,24.5084,7.6201,17.2044,6.5318
a5,1.509172,0.069145,14.0604,MARGINAL,identifiable,11.1378,9.3081,33.1479,2.6477
eps13,0.113956,0.005221,21.7006,NO,non-ident,23.0052,28.0196,20.3281,15.4494
kappaBC,6.227057,0.285303,23.7219,NO,identifiable,22.5707,0.4553,23.9508,47.9109
lambda5,3.983272,0.182500,24.4037,NO,identifiable,8.4084,18.5755,32.4672,38.1636
etaB13,9.215485,0.422222,28.6524,NO,identifiable,10.3845,22.2459,33.6764,48.3026
kappaBM,7.472468,0.342363,33.5739,NO,identifiable,22.8446,30.3696,32.8720,48.2093
etaBM,21.826149,1.000000,33.6271,NO,identifiable,2.0964,26.7653,49.3976,56.2490
rho13,1.888600,0.086529,38.2128,NO,identifiable,86.6778,9.3132,37.9432,18.9170
kappaB13,3.155042,0.144553,39.5220,NO,identifiable,37.7420,50.6631,27.8532,41.8298
etaR,8.951598,0.410132,42.3655,NO,identifiable,39.4876,47.2273,35.0534,47.6938
rho5,1.289901,0.059099,43.0658,NO,identifiable,54.8995,43.9409,49.0592,24.3636
W,15.477681,0.709135,45.4014,NO,identifiable,24.0224,37.7818,50.6460,69.1552
kappaRC,4.483308,0.205410,49.1686,NO,identifiable,57.9572,45.8445,43.4464,49.4266
kappa5,1.238073,0.056724,55.1340,NO,identifiable,3.2612,14.5996,72.3789,130.2964
epsC,0.210985,0.009667,55.4439,NO,non-ident,118.1379,43.2558,31.8668,28.5149
kappaM13,1.599303,0.073275,58.8807,NO,identifiable,19.6584,53.7523,80.7982,81.3139
epsM,0.102058,0.004676,61.5880,NO,non-ident,50.8287,62.7092,67.8525,64.9615
thetaP,7.768738,0.355937,63.1896,NO,identifiable,33.9008,8.9562,33.0594,176.8420
eta13,7.780796,0.356490,71.8739,NO,identifiable,14.0471,22.5528,83.0741,167.8216
kappaR,5.346384,0.244953,73.8584,NO,identifiable,101.7205,69.4335,66.8066,57.4730
lambdaP,3.931635,0.180134,78.6413,NO,identifiable,68.8131,86.2883,85.7743,73.6897
etaM,6.689043,0.306469,82.5510,NO,identifiable,87.7358,86.4613,71.8447,84.1621
kappaM,1.955302,0.089585,96.3792,NO,identifiable,94.2192,97.6950,94.3967,99.2061
rhoB,1.257359,0.057608,102.6559,NO,identifiable,59.1437,17.0683,74.6146,259.7969
epsP,0.128916,0.005907,118.0390,NO,non-ident,315.1897,63.9681,62.4598,30.5384
a13,2.173208,0.099569,137.6552,NO,identifiable,67.4847,73.7824,153.5813,255.7724
aC,1.207338,0.055316,251.8692,NO,identifiable,4.1963,14.9513,371.7078,616.6215
aM,3.622013,0.165948,268.2391,NO,identifiable,81.4562,214.3764,358.4625,418.6613
epsR,0.159465,0.007306,281.0407,NO,non-ident,363.3435,288.3838,246.2871,226.1482
