param,mean,Normal,Early adenoma,Cancer-like,Strong APC-mutant
lambdaC,0.06,0.04,0.06,0.07,0.05
etaRC,0.16,0.15,0.18,0.17,0.15
rho5,0.74,0.62,1.64,0.51,0.20
kappaRC,1.34,1.52,2.50,0.67,0.66
epsC,1.42,2.53,0.96,0.81,1.40
eps13,1.68,2.50,2.68,0.78,0.78
epsR,1.79,3.20,2.20,1.52,0.25
epsM,2.69,8.27,1.16,0.50,0.82
kappaBM,2.71,2.46,1.34,0.83,6.22
kappaR,2.89,8.48,2.72,0.20,0.16
kappaBC,3.06,0.77,0.67,1.96,8.84
etaBM,3.62,1.66,1.57,1.50,9.76
etaBC,4.25,0.76,0.37,2.91,12.95
kappaB13,4.27,3.64,6.70,2.09,4.66
etaB13,5.82,2.16,8.56,3.34,9.23
W,10.05,1.54,7.93,0.01,30.71
kappaM13,12.88,6.33,12.79,5.83,26.55
lambdaP,17.22,25.12,3.64,6.10,34.03
etaM13,20.52,4.79,34.26,12.17,30.85
eta13,21.84,5.98,5.99,0.48,74.90
epsP,25.72,1.72,2.59,30.84,67.73
lambda5,26.87,76.80,8.89,4.06,17.72
kappa13,27.34,50.70,25.73,9.28,23.64
aM,28.32,15.99,12.47,11.21,73.61
a13,30.85,1.29,56.11,19.14,46.84
kappaM,35.24,37.98,42.57,29.09,31.32
rhoB,37.48,2.16,1.97,23.04,122.77
kappa5,57.11,144.28,18.74,10.47,54.93
rho13,63.20,1.24,0.41,45.37,205.77
aC,82.30,22.13,9.89,53.92,243.25
thetaP,86.63,0.88,23.30,58.04,264.29
deltaP1,104.78,59.39,222.85,56.73,80.16
etaR,132.99,97.82,208.05,93.45,132.62
eps5,133.06,109.14,209.06,87.08,126.98
a5,154.17,151.67,237.12,94.42,133.47
etaM,175.63,123.90,273.40,125.57,179.64
