param,rel_sensitivity,sens_frac_of_max,recov_err_pct_mean,identifiable,apriori,err_Normal,err_Early adenoma,err_Cancer-like,err_Strong APC-mutant
lambdaC,12.251020,0.610854,0.1119,YES,identifiable,0.0823,0.0890,0.1227,0.1535
kappaBC,5.395782,0.269042,3.9901,YES,identifiable,2.7167,3.2656,1.8309,8.1473
etaRC,6.690366,0.333591,7.0443,MARGINAL,identifiable,0.5357,8.3744,9.3588,9.9084
etaBC,16.712972,0.833333,7.6519,MARGINAL,identifiable,0.7785,2.5679,5.8399,21.4211
eps13,0.110619,0.005516,7.7428,MARGINAL,non-ident,2.9965,13.0990,10.1743,4.7013
kappaBM,6.474938,0.322850,14.7345,MARGINAL,identifiable,0.8373,0.9177,29.7694,27.4135
etaBM,20.055567,1.000000,20.4265,NO,identifiable,0.3347,2.2337,30.1810,48.9568
kappaB13,2.733863,0.136314,23.0113,NO,identifiable,1.6072,19.4568,17.0349,53.9464
kappa13,1.943450,0.096903,26.0769,NO,identifiable,0.2304,9.3263,48.1857,46.5651
etaB13,8.467906,0.422222,26.7941,NO,identifiable,0.0634,34.9323,14.7655,57.4151
rho5,1.277284,0.063687,30.4444,NO,identifiable,5.0319,35.5200,43.7196,37.5062
lambda5,3.742074,0.186585,33.5446,NO,identifiable,33.7038,22.7041,37.8732,39.8973
epsM,0.114003,0.005684,35.6362,NO,non-ident,34.1875,30.0516,34.3815,43.9241
kappaRC,4.171954,0.208020,37.4492,NO,identifiable,12.1142,44.5617,46.4463,46.6746
lambdaP,3.659197,0.182453,37.8624,NO,identifiable,26.2952,26.4125,44.5415,54.2006
epsC,0.206486,0.010296,38.1602,NO,weak,85.7101,29.1347,15.7915,22.0044
deltaP1,1.583347,0.078948,39.2679,NO,identifiable,74.3918,8.3540,32.2360,42.0898
epsP,0.123778,0.006172,41.2257,NO,non-ident,75.1251,60.5911,10.0454,19.1412
etaM13,5.188711,0.258717,41.6759,NO,identifiable,1.3370,68.4074,72.9009,24.0583
etaR,8.504094,0.424027,43.9271,NO,identifiable,40.2806,32.5133,53.8351,49.0793
W,14.379430,0.716979,50.5554,NO,identifiable,2.9878,15.4607,91.4022,92.3709
etaM,6.302146,0.314234,57.2258,NO,identifiable,31.9946,16.6254,93.4081,86.8753
eps5,0.105927,0.005282,63.8433,NO,non-ident,126.2271,118.6036,7.2934,3.2490
kappaM,1.833910,0.091441,66.5311,NO,identifiable,35.9428,32.2439,99.1599,98.7776
thetaP,7.463655,0.372149,66.9423,NO,identifiable,12.9306,10.5266,45.8000,198.5120
kappa5,1.134024,0.056544,81.5325,NO,identifiable,34.2887,51.4811,106.0836,134.2768
kappaR,4.948267,0.246728,82.1923,NO,identifiable,73.7983,89.6008,90.2797,75.0904
rho13,1.737807,0.086650,85.1497,NO,identifiable,30.5000,9.4490,110.5888,190.0612
rhoB,1.163889,0.058033,99.5647,NO,identifiable,25.4414,11.5818,116.6239,244.6115
eta13,7.103531,0.354192,105.3554,NO,identifiable,8.3077,10.5966,168.4928,234.0246
a5,1.392376,0.069426,108.9037,NO,identifiable,225.5570,199.6953,2.1354,8.2271
kappaM13,1.429952,0.071300,109.2963,NO,identifiable,10.0300,291.8337,120.1324,15.1892
aM,3.341703,0.166622,152.1336,NO,identifiable,0.3875,16.0326,233.3860,358.7285
a13,2.005022,0.099973,182.9168,NO,identifiable,8.6480,46.0840,303.8730,373.0622
aC,1.113901,0.055541,183.8247,NO,identifiable,31.5184,33.1812,192.7981,477.8009
epsR,0.156238,0.007790,184.5840,NO,non-ident,245.5298,195.6102,155.3223,141.8737
