param,mle,true,ci_low,ci_high,rel_width,verdict
epsM,0.602413,0.6,0.595712,0.614408,0.0310361,IDENT
eps13,0.996249,1,0.995848,1.04899,0.053341,IDENT
epsR,0.389217,0.4,0.385011,0.408504,0.0603602,IDENT
lambdaP,1.58822,1.6,1.57638,1.69206,0.0728395,IDENT
rho5,1.08951,1.1,1.08122,1.16112,0.0733423,IDENT
lambda5,1.30681,1.3,1.29269,1.41393,0.0927781,IDENT
lambdaC,0.850101,0.85,0.850169,0.938025,0.103348,IDENT
kappa5,0.505214,0.5,0.494792,0.551754,0.112748,IDENT
kappaRC,0.499115,0.5,0.498673,0.555545,0.113945,IDENT
epsC,0.799733,0.8,0.694508,0.799926,0.131817,IDENT
kappa13,0.565945,0.55,0.561454,0.705964,0.255343,IDENT
kappaB13,0.507984,0.5,0.37034,0.508189,0.271364,IDENT
kappaR,0.40153,0.4,0.272541,0.401562,0.321323,IDENT
etaBM,1.33146,1.35,0.843716,1.33136,0.366244,IDENT
etaBC,1.48617,1.5,0.914119,1.48605,0.384834,IDENT
kappaM13,0.489831,0.5,0.488532,0.691637,0.414642,IDENT
a5,0.294726,0.15,0.174553,0.300111,0.426017,IDENT
aC,0.093529,0.08,0.0679343,0.108291,0.431484,IDENT
a13,0.176095,0.18,0.133544,0.214561,0.460075,IDENT
kappaBM,0.504201,0.5,0.504241,0.739251,0.466103,IDENT
kappaBC,0.502561,0.5,0.502601,0.75546,0.503141,WEAK
aM,0.19864,0.18,0.194668,0.31413,0.601397,WEAK
etaRC,1.49935,1.5,1.49947,2.50203,0.668659,WEAK
eta13,0.741072,0.75,0.741013,1.26667,0.709323,WEAK
etaB13,0.925848,0.95,0.925923,1.58301,0.709712,WEAK
kappaM,0.360657,0.5,0.360338,0.619334,0.718124,WEAK
rho13,1.83927,1.3,0.724013,2.07642,0.735296,WEAK
thetaP,0.785061,0.5,0.157038,0.784998,0.799887,WEAK
W,1.51152,1.5,0.520676,1.82428,0.862449,WEAK
rhoB,1.35749,1.1,0.494715,1.9961,1.106,WEAK
etaM,5.67095,2.5,3.31888,9.69302,1.124,WEAK
eps5,2.28564,1.2,0.789497,3.86046,1.34359,WEAK
epsP,0.705002,1,0.242424,1.22457,1.39311,WEAK
deltaP1,5.46339,3.5,4.41021,16.1227,2.14382,WEAK
etaM13,0.579178,0.55,0.372846,1.69276,2.27893,WEAK
etaR,4.84562,2.5,2.83358,14.1508,2.33556,WEAK
