param,rel_sensitivity,sens_frac_of_max,recov_err_pct_mean,identifiable,apriori,err_Normal,err_Early Adenoma,err_Advanced Adenoma,err_Severe APC Loss
lambdaC,12.786595,0.637818,0.0739,YES,identifiable,0.1847,0.0364,0.0363,0.0382
kappaBC,5.422748,0.270496,3.6751,YES,identifiable,2.4255,2.0170,1.6613,8.5964
etaRC,6.844919,0.341437,6.9243,MARGINAL,identifiable,0.5806,8.6877,9.1044,9.3247
etaBC,16.706158,0.833333,7.0647,MARGINAL,identifiable,0.5853,2.2308,3.8591,21.5835
eps13,0.111127,0.005543,7.9280,MARGINAL,non-ident,4.1065,12.1675,9.9403,5.4978
kappaBM,6.507297,0.324596,15.1693,MARGINAL,identifiable,1.0544,0.7297,30.1576,28.7354
etaBM,20.047390,1.000000,20.0906,NO,identifiable,0.4740,1.4674,29.4060,49.0150
kappaB13,2.747525,0.137052,21.1530,NO,identifiable,0.5412,19.3927,16.0710,48.6069
rho5,1.313576,0.065524,25.9428,NO,identifiable,3.9330,25.2117,42.3230,32.3036
etaB13,8.464454,0.422222,26.0016,NO,identifiable,0.3515,35.5438,12.8143,55.2967
kappa13,1.952408,0.097390,26.5973,NO,identifiable,0.0203,10.7604,48.8178,46.7908
lambda5,3.798694,0.189486,33.5101,NO,identifiable,33.2581,23.1917,39.0220,38.5686
epsM,0.114541,0.005714,35.4691,NO,non-ident,35.9631,27.1112,33.7499,45.0520
kappaRC,4.205300,0.209768,35.6801,NO,identifiable,11.5831,42.1570,45.9976,42.9828
lambdaP,3.668405,0.182987,38.5519,NO,identifiable,25.7181,25.9752,47.2132,55.3013
epsC,0.205413,0.010246,38.5671,NO,weak,86.7301,29.1392,14.4515,23.9474
etaM13,5.192649,0.259019,42.4425,NO,identifiable,0.4264,68.7601,74.0556,26.5281
deltaP1,1.602655,0.079943,44.4352,NO,identifiable,74.6010,4.7058,43.7487,54.6852
epsP,0.124189,0.006195,45.4027,NO,non-ident,75.2392,58.2619,20.1609,27.9488
W,14.415934,0.719093,51.3631,NO,identifiable,2.9739,14.8732,94.6870,92.9183
etaR,8.682575,0.433102,58.1436,NO,identifiable,38.6181,87.4156,55.8681,50.6725
kappaM,1.873063,0.093432,70.0717,NO,identifiable,35.5578,46.3096,99.3461,99.0732
thetaP,7.561409,0.377177,70.9655,NO,identifiable,12.8534,9.9530,50.5856,210.4699
etaM,6.410771,0.319781,73.5068,NO,identifiable,29.5561,81.4850,94.7069,88.2792
kappaR,4.971473,0.247986,75.3592,NO,identifiable,73.1845,80.5510,78.2914,69.4097
kappa5,1.156966,0.057712,78.4317,NO,identifiable,32.7049,45.9320,106.4363,128.6537
eps5,0.105511,0.005263,87.6422,NO,non-ident,125.4448,220.3101,4.3899,0.4242
rho13,1.757737,0.087679,104.6617,NO,identifiable,31.7742,10.2150,146.0699,230.5878
eta13,7.110802,0.354700,107.0014,NO,identifiable,7.7073,10.6411,174.4880,235.1694
rhoB,1.170773,0.058400,110.1197,NO,identifiable,27.7576,12.0067,131.4915,269.2228
kappaM13,1.436842,0.071672,114.1530,NO,identifiable,9.6614,276.9565,154.5237,15.4704
a5,1.395459,0.069608,135.4016,NO,identifiable,219.0591,314.9470,5.5358,2.0644
aM,3.349102,0.167059,149.9233,NO,identifiable,0.4577,10.8825,228.8421,359.5110
aC,1.116367,0.055686,175.6115,NO,identifiable,29.6425,37.4323,159.9420,475.4290
a13,2.009461,0.100236,179.8808,NO,identifiable,7.2621,42.1043,301.7931,368.3639
epsR,0.156015,0.007782,184.1397,NO,non-ident,247.4412,194.5909,153.2844,141.2424
