param,mean,Normal,Early adenoma,Cancer-like,Strong APC-mutant
lambdaC,0.01,0.01,0.00,0.02,0.00
etaRC,0.16,0.04,0.26,0.18,0.16
kappaRC,1.12,2.18,1.53,0.70,0.08
epsM,1.63,1.89,1.20,3.08,0.35
epsC,1.99,2.53,0.92,4.46,0.06
kappaBM,2.31,1.26,1.02,4.36,2.61
etaBM,2.46,0.45,1.25,5.69,2.44
eps13,4.73,2.19,0.80,2.44,13.47
epsR,5.54,11.25,2.86,7.94,0.10
etaBC,5.76,0.23,1.97,14.65,6.18
kappaBC,5.85,3.88,1.94,11.88,5.71
kappaR,5.94,8.13,8.10,5.47,2.05
kappaB13,9.64,12.01,8.72,3.41,14.42
etaB13,10.07,4.80,9.52,9.61,16.34
kappa13,12.88,7.51,28.67,14.34,1.02
rho5,13.68,21.18,19.02,5.19,9.34
W,14.39,2.40,3.06,23.75,28.36
aM,20.03,6.37,9.88,44.48,19.38
epsP,35.14,24.11,17.62,57.62,41.21
eta13,35.73,9.90,29.84,41.74,61.44
lambda5,38.97,47.93,25.13,50.23,32.58
etaM13,40.38,21.25,22.55,35.55,82.19
kappaM,42.20,42.79,48.48,43.50,34.04
rhoB,43.60,65.88,53.66,44.84,10.02
a13,46.79,31.41,22.66,55.61,77.48
deltaP1,51.50,68.43,62.99,26.08,48.51
lambdaP,54.03,0.49,69.10,58.92,87.59
thetaP,66.95,16.66,5.74,58.43,186.95
kappaM13,71.52,34.45,32.65,20.16,198.84
rho13,73.76,9.06,12.45,153.42,120.12
kappa5,90.84,80.84,64.30,131.92,86.31
aC,116.61,26.50,36.47,283.80,119.67
etaR,136.55,113.55,236.26,122.80,73.57
eps5,150.58,119.34,263.62,141.56,77.79
etaM,171.07,137.51,298.63,154.22,93.92
a5,172.39,151.76,301.76,153.40,82.63
