param,rel_sensitivity,sens_frac_of_max,recov_err_pct_mean,identifiable,apriori,err_Normal,err_Early adenoma,err_Cancer-like,err_Strong APC-mutant
lambdaC,12.113338,0.555567,0.1663,YES,identifiable,0.1647,0.0389,0.2690,0.1926
etaRC,6.935453,0.318088,6.0605,MARGINAL,identifiable,5.5311,1.2688,7.6450,9.7972
etaBC,18.169647,0.833333,8.0266,MARGINAL,identifiable,4.5182,3.8291,6.5929,17.1663
a5,1.505947,0.069069,8.2315,MARGINAL,identifiable,0.4477,11.2592,14.6097,6.6092
eps5,0.109929,0.005042,10.8911,MARGINAL,non-ident,16.5447,13.5403,7.3351,6.1442
kappaBC,6.199337,0.284327,14.6312,MARGINAL,identifiable,21.8319,15.6897,0.8867,20.1167
eps13,0.113771,0.005218,20.6534,NO,non-ident,29.6906,25.7783,18.6738,8.4708
kappa13,2.110117,0.096778,21.0780,NO,identifiable,6.2003,16.6858,25.7803,35.6455
etaB13,9.205955,0.422222,24.8202,NO,identifiable,5.0900,24.1486,21.7166,48.3255
etaM13,5.659886,0.259585,26.0231,NO,identifiable,20.5043,25.2179,38.3969,19.9733
rho5,1.275335,0.058492,26.5125,NO,identifiable,42.2855,35.4184,11.1605,17.1856
kappaBM,7.439204,0.341192,26.8433,NO,identifiable,24.6287,26.8198,24.0446,31.8799
kappaB13,3.140997,0.144059,28.0113,NO,identifiable,33.4625,55.0855,10.1813,13.3159
etaBM,21.803576,1.000000,29.3627,NO,identifiable,1.4841,22.2638,42.2953,51.4076
deltaP1,1.673868,0.076770,32.1934,NO,identifiable,3.9608,43.4658,55.7373,25.6096
kappaRC,4.460982,0.204599,37.1152,NO,identifiable,29.1754,36.8276,40.4637,41.9941
epsC,0.211272,0.009690,38.6726,NO,non-ident,86.4799,30.8402,21.5231,15.8471
etaR,8.854617,0.406108,48.7188,NO,identifiable,42.9302,52.2463,53.5561,46.1425
rho13,1.877158,0.086094,49.0403,NO,identifiable,73.6800,60.7269,58.6477,3.1067
lambda5,3.948611,0.181099,49.1923,NO,identifiable,19.4229,25.4214,70.1130,81.8116
epsM,0.101927,0.004675,50.7910,NO,non-ident,53.9176,57.2987,47.0696,44.8782
kappaR,5.327834,0.244356,51.7018,NO,identifiable,80.5141,46.0706,43.9341,36.2884
W,15.446015,0.708417,51.9495,NO,identifiable,16.4116,43.9460,65.4864,81.9538
lambdaP,3.920568,0.179813,61.0405,NO,identifiable,45.0759,73.7662,66.5525,58.7673
thetaP,7.719466,0.354046,68.5099,NO,identifiable,30.6714,1.5295,56.7504,185.0881
kappaM13,1.593175,0.073069,80.8056,NO,identifiable,13.0500,37.8757,64.6856,207.6109
epsP,0.128713,0.005903,84.9894,NO,non-ident,281.0685,20.5442,29.0955,9.2495
etaM,6.626190,0.303904,87.3829,NO,identifiable,89.0127,89.7627,89.8886,80.8676
eta13,7.766235,0.356191,92.1886,NO,identifiable,7.9233,33.3595,118.0200,209.4517
kappaM,1.934952,0.088745,98.5095,NO,identifiable,97.4827,98.2880,99.1737,99.0937
kappa5,1.224723,0.056171,132.1001,NO,identifiable,11.6293,31.6393,181.8218,303.3100
epsR,0.159470,0.007314,163.5827,NO,non-ident,228.5350,177.4821,128.6757,119.6381
aC,1.204757,0.055255,166.2154,NO,identifiable,6.9858,47.9933,195.6513,414.2311
a13,2.168563,0.099459,183.9360,NO,identifiable,119.9675,74.6021,196.7233,344.4510
rhoB,1.252387,0.057440,195.5724,NO,identifiable,52.6944,48.7112,359.7989,321.0851
aM,3.614272,0.165765,238.0536,NO,identifiable,84.2490,183.7663,306.1776,378.0217
