param,mle,true,ci_low,ci_high,rel_width,verdict
eps13,1.02186,1,0.977542,1.03303,0.054297,IDENT
lambdaC,0.850059,0.85,0.850127,0.926128,0.0894064,IDENT
kappaRC,0.48724,0.5,0.448156,0.517096,0.14149,IDENT
epsM,0.611081,0.6,0.550869,0.666838,0.189776,IDENT
epsC,0.817428,0.8,0.704412,0.863477,0.194592,IDENT
epsR,0.442831,0.4,0.354145,0.445153,0.205515,IDENT
etaBC,1.50078,1.5,1.48623,1.90951,0.282039,IDENT
epsP,1.2413,1,1.22296,1.61017,0.31194,IDENT
kappaR,0.432103,0.4,0.2599,0.432277,0.398925,IDENT
etaM,5.93958,2.5,4.35114,6.80216,0.412659,IDENT
a5,0.375267,0.15,0.241578,0.433168,0.510544,WEAK
rho5,1.33566,1.1,0.470128,1.33943,0.650839,WEAK
kappaM,0.281118,0.5,0.280734,0.479572,0.707311,WEAK
kappa5,0.90387,0.5,0.269414,0.917428,0.716933,WEAK
lambda5,1.92742,1.3,0.710606,2.52769,0.942755,WEAK
kappaBM,0.504698,0.5,0.350431,0.844381,0.978705,WEAK
rho13,1.42382,1.3,0.498986,1.94392,1.01483,WEAK
eps5,2.6762,1.2,1.05194,4.25742,1.19777,WEAK
kappa13,0.588824,0.55,0.208158,0.955458,1.26914,WEAK
kappaBC,0.517314,0.5,0.182702,0.857998,1.30539,WEAK
thetaP,0.833735,1,0.285172,1.42551,1.36775,WEAK
rhoB,0.3701,1.1,0.0932817,0.690254,1.613,WEAK
etaRC,1.50248,1.5,1.28293,4.35258,2.04305,WEAK
aM,0.18923,0.18,0.120976,0.524028,2.12996,WEAK
etaR,5.36442,2.5,3.13747,15.6911,2.34017,WEAK
kappaB13,0.439313,0.5,0.245696,1.2877,2.37189,WEAK
a13,0.234173,0.18,0.0837487,0.676311,2.53045,WEAK
lambdaP,1.59389,1.6,0.543772,4.63151,2.56464,WEAK
etaM13,0.435355,0.55,0.108447,1.27056,2.66935,WEAK
eta13,0.822778,0.75,0.648746,4.02612,4.10483,WEAK
etaBM,1.34438,1.35,0.980892,6.69705,4.2519,WEAK
W,0.78216,0.8,0.485764,3.90012,4.36528,WEAK
deltaP1,1.10371,3.5,nan,nan,nan,NON-IDENT
etaB13,0.994879,0.95,0.34029,nan,nan,NON-IDENT
kappaM13,0.669757,0.5,nan,3.28103,nan,NON-IDENT
aC,0.0940517,0.08,nan,0.145583,nan,NON-IDENT
