param,rel_sensitivity,sens_frac_of_max,recov_err_pct_mean,identifiable,apriori,err_Normal,err_Early Adenoma,err_Advanced Adenoma,err_Severe APC Loss
lambdaC,12.392978,0.567804,0.1556,YES,identifiable,0.0398,0.1485,0.4152,0.0189
etaRC,7.018366,0.321558,5.8690,MARGINAL,identifiable,5.3530,0.1859,7.5780,10.3590
etaBC,18.188457,0.833333,7.8257,MARGINAL,identifiable,5.2275,2.3465,7.6590,16.0698
eps5,0.109708,0.005026,9.3048,MARGINAL,non-ident,29.7159,5.5724,0.0279,1.9029
a5,1.509172,0.069145,10.2447,MARGINAL,identifiable,3.5512,19.4192,10.9542,7.0543
kappaBC,6.227057,0.285303,15.3574,MARGINAL,identifiable,24.1534,15.9550,1.2794,20.0416
kappa13,2.117348,0.097010,20.4565,NO,identifiable,10.6011,8.0919,31.7249,31.4079
eps13,0.113956,0.005221,22.1888,NO,non-ident,27.1838,28.1856,17.9181,15.4678
rho5,1.289901,0.059099,24.4589,NO,identifiable,38.5125,39.0112,2.5486,17.7633
etaB13,9.215485,0.422222,24.5706,NO,identifiable,2.1630,21.6050,21.1512,53.3629
kappaB13,3.155042,0.144553,25.0655,NO,identifiable,31.5383,50.3411,11.7892,6.5934
kappaBM,7.472468,0.342363,26.3053,NO,identifiable,21.1110,28.9432,24.4445,30.7223
deltaP1,1.682173,0.077071,26.6259,NO,identifiable,2.7033,31.0833,40.6193,32.0979
etaBM,21.826149,1.000000,29.8356,NO,identifiable,2.8007,22.2587,42.5758,51.7071
etaM13,5.669754,0.259769,36.5793,NO,identifiable,17.1796,19.3929,39.4780,70.2668
rho13,1.888600,0.086529,37.1896,NO,identifiable,68.2994,46.5518,29.1452,4.7621
kappaRC,4.483308,0.205410,37.3332,NO,identifiable,32.4861,31.8385,40.1116,44.8968
epsC,0.210985,0.009667,38.7952,NO,non-ident,81.8913,34.5468,21.6611,17.0815
lambda5,3.983272,0.182500,45.0101,NO,identifiable,19.4128,27.7265,50.9474,81.9537
kappaR,5.346384,0.244953,47.5344,NO,identifiable,73.2759,38.8359,40.8506,37.1754
etaR,8.951598,0.410132,48.4301,NO,identifiable,41.6551,54.3962,51.1571,46.5121
W,15.477681,0.709135,49.8256,NO,identifiable,15.7409,38.8217,69.2221,75.5178
epsM,0.102058,0.004676,51.1522,NO,non-ident,49.6494,58.1708,48.4407,48.3479
lambdaP,3.931635,0.180134,60.4587,NO,identifiable,40.8642,76.9146,61.1807,62.8754
epsP,0.128916,0.005907,65.4506,NO,non-ident,224.3343,5.4688,16.8438,15.1554
thetaP,7.768738,0.355937,67.8508,NO,identifiable,29.6536,2.1339,49.4867,190.1291
kappaM13,1.599303,0.073275,86.6559,NO,identifiable,14.2994,42.4376,62.3630,227.5235
etaM,6.689043,0.306469,86.8432,NO,identifiable,87.5058,91.6073,86.8603,81.3994
eta13,7.780796,0.356490,87.3237,NO,identifiable,5.8511,27.1415,123.9742,192.3281
kappaM,1.955302,0.089585,98.2855,NO,identifiable,96.5160,98.8860,98.7639,98.9761
kappa5,1.238073,0.056724,119.2476,NO,identifiable,6.3820,36.5811,131.6954,302.3319
epsR,0.159465,0.007306,163.4821,NO,non-ident,228.4923,178.0322,128.9172,118.4869
aC,1.207338,0.055316,164.3578,NO,identifiable,11.4648,32.5086,214.2331,399.2248
a13,2.173208,0.099569,175.3138,NO,identifiable,116.8659,74.2718,198.9521,311.1655
rhoB,1.257359,0.057608,178.2713,NO,identifiable,54.1640,27.3869,273.2883,358.2459
aM,3.622013,0.165948,238.8062,NO,identifiable,79.5315,188.0002,308.3181,379.3748
