param,rel_sensitivity,sens_frac_of_max,recov_err_pct_mean,identifiable,apriori,err_Normal
kappaBM,6.504502,0.324557,0.0187,YES,identifiable,0.0187
etaBM,20.041173,1.000000,0.0586,YES,identifiable,0.0586
lambdaC,12.782529,0.637813,0.0640,YES,identifiable,0.0640
aM,3.347960,0.167054,0.0880,YES,identifiable,0.0880
etaB13,8.461828,0.422222,0.4129,YES,identifiable,0.4129
eta13,7.108426,0.354691,0.5683,YES,identifiable,0.5683
etaM13,5.190913,0.259012,0.5962,YES,identifiable,0.5962
kappaB13,2.746345,0.137035,0.6343,YES,identifiable,0.6343
W,14.412111,0.719125,0.8137,YES,identifiable,0.8137
epsM,0.114520,0.005714,1.2733,YES,non-ident,1.2733
kappaBC,5.420418,0.270464,1.3212,YES,identifiable,1.3212
etaRC,6.842802,0.341437,1.5560,YES,identifiable,1.5560
etaBC,16.700977,0.833333,2.2672,YES,identifiable,2.2672
kappaM13,1.436319,0.071668,2.3269,YES,identifiable,2.3269
a13,2.008776,0.100232,3.5687,YES,identifiable,3.5687
eps13,0.111130,0.005545,4.1417,YES,non-ident,4.1417
rhoB,1.170398,0.058400,5.6890,MARGINAL,identifiable,5.6890
etaM,6.408764,0.319780,10.5965,MARGINAL,identifiable,10.5965
kappaRC,4.204021,0.209769,10.9286,MARGINAL,identifiable,10.9286
lambdaP,3.666863,0.182966,11.1888,MARGINAL,identifiable,11.1888
kappa13,1.951689,0.097384,11.3117,MARGINAL,identifiable,11.3117
etaR,8.679892,0.433103,16.0052,MARGINAL,identifiable,16.0052
thetaP,7.557213,0.377084,20.3272,NO,identifiable,20.3272
kappaM,1.872451,0.093430,21.5588,NO,identifiable,21.5588
rho13,1.757066,0.087673,26.8769,NO,identifiable,26.8769
lambda5,3.797599,0.189490,28.7104,NO,identifiable,28.7104
epsC,0.205385,0.010248,37.4180,NO,weak,37.4180
kappaR,4.969938,0.247986,41.7283,NO,identifiable,41.7283
deltaP1,1.602379,0.079954,48.1827,NO,identifiable,48.1827
kappa5,1.156560,0.057709,49.1137,NO,identifiable,49.1137
rho5,1.313100,0.065520,49.4179,NO,identifiable,49.4179
aC,1.115987,0.055685,66.8039,NO,identifiable,66.8039
epsR,0.156065,0.007787,79.0560,NO,non-ident,79.0560
eps5,0.105518,0.005265,82.3018,NO,non-ident,82.3018
a5,1.394983,0.069606,123.4675,NO,identifiable,123.4675
epsP,0.124179,0.006196,230.0272,NO,non-ident,230.0272
