output,param,mu,mu_star,sigma,mu_star_conf,nonlinear_flag
b-catenin,thetaP,-0.194096221,0.194096221,0.05527400625,0.01727743489,False
b-catenin,DR,-0.02064888412,0.02064888412,0.005262347839,0.001659237127,False
b-catenin,AR,-0.00689271709,0.00689271709,0.002028063799,0.0006844924185,False
b-catenin,etaR,-0.1802775663,0.1802775663,0.029877488,0.009056084876,False
b-catenin,etaM,0.1354013834,0.1354013834,0.0320744385,0.01119320777,False
b-catenin,eta13,0.2981957628,0.2981957628,0.03870090831,0.01389799808,False
b-catenin,etaB13,0.09083961958,0.09083961958,0.01952767065,0.005238998503,False
b-catenin,etaBM,0.05907624581,0.05907624581,0.01767997125,0.005719917327,False
b-catenin,etaBC,0.02966482695,0.02966482695,0.008835363176,0.002402883718,False
b-catenin,lambdaC,0.04837222949,0.04837222949,0.01063818889,0.003009573347,False
b-catenin,lambdaP,-0.1682506915,0.1682506915,0.04214656293,0.01305134155,False
b-catenin,lambda5,-0.1516855804,0.1516855804,0.03465947612,0.009886813695,False
b-catenin,rhoB,0.03473018005,0.03473018005,0.01064745067,0.003659516998,False
b-catenin,rho13,0.07820041586,0.07820041586,0.02475162503,0.008636487989,False
APC,thetaP,0.3352760823,0.3352760823,0.2211862898,0.06281315852,True
APC,DR,0.02459379049,0.02459379049,0.02522442388,0.008213435481,True
APC,AR,0.004856756473,0.004856756473,0.00551970913,0.002041822561,True
APC,etaR,0.1523498174,0.1523498174,0.1549466207,0.04539350849,True
APC,etaM,-0.09808155796,0.09808155796,0.07854114033,0.02397146869,True
APC,eta13,-0.08572320176,0.08572320176,0.0678280485,0.02529644164,True
APC,etaB13,-0.07035022059,0.07035022059,0.03732877625,0.01105756547,True
APC,etaBM,-0.05220972239,0.05220972239,0.04687990671,0.01611980681,True
APC,etaBC,-0.01656033707,0.01656033707,0.01124943488,0.003335344959,True
APC,lambdaC,-0.03760279014,0.03760279014,0.03306875556,0.009672746568,True
APC,lambdaP,0.05848720698,0.05848720698,0.05941563241,0.01914587994,True
APC,lambda5,0.05810895551,0.05810895551,0.06401686736,0.01952141649,True
APC,rhoB,-0.05595167946,0.05595167946,0.02728104155,0.009693785594,False
APC,rho13,-0.1362352525,0.1362352525,0.08058764888,0.0223416599,True
HOXA5,thetaP,0.04211881454,0.04211881454,0.04348283103,0.01259423817,True
HOXA5,DR,0.04026422707,0.04026422707,0.02000902493,0.006405921506,False
HOXA5,AR,0.00989013119,0.00989013119,0.004061909993,0.001511809575,False
HOXA5,etaR,0.2808539078,0.2808539078,0.101508232,0.03088775038,False
HOXA5,etaM,-0.2065734679,0.2065734679,0.06469766895,0.01917083641,False
HOXA5,eta13,-0.04655946542,0.04655946542,0.03599037267,0.01210124749,True
HOXA5,etaB13,-0.01490664757,0.01490664757,0.0125476421,0.003768910473,True
HOXA5,etaBM,-0.05969862032,0.05969862032,0.02821807521,0.009221551071,False
HOXA5,etaBC,-0.04108798263,0.04108798263,0.01240426756,0.003360991794,False
HOXA5,lambdaC,-0.07390035242,0.07390035242,0.02626629664,0.00768992792,False
HOXA5,lambdaP,0.03343937955,0.03343937955,0.02881703271,0.009538301288,True
HOXA5,lambda5,0.03351715712,0.03351715712,0.03489989907,0.01045439387,True
HOXA5,rhoB,-0.006944901788,0.006944901788,0.005765989616,0.001951255165,True
HOXA5,rho13,-0.01753865499,0.01753865499,0.01668437703,0.004273397324,True
HOXA13,thetaP,-0.1576114579,0.1576114579,0.1071105083,0.03159620321,True
HOXA13,DR,-0.02328871598,0.02328871598,0.01578527844,0.005490904353,True
HOXA13,AR,-0.005481707257,0.005481707257,0.004901248016,0.001852204991,True
HOXA13,etaR,-0.155723147,0.155723147,0.09876796262,0.03221951992,True
HOXA13,etaM,0.1162917221,0.1162917221,0.06717638025,0.02019127261,True
HOXA13,eta13,0.2021412546,0.2021412546,0.08819901923,0.02978579077,False
HOXA13,etaB13,0.4338731544,0.4338731544,0.05099812907,0.01472617841,False
HOXA13,etaBM,0.1354072186,0.1354072186,0.04597724938,0.01484929229,False
HOXA13,etaBC,0.01996724536,0.01996724536,0.0123744674,0.003612782436,True
HOXA13,lambdaC,0.03933925109,0.03933925109,0.02377403194,0.006433997239,True
HOXA13,lambdaP,-0.1282329754,0.1282329754,0.07322836221,0.0223558446,True
