output,param,mu,mu_star,sigma,mu_star_conf,nonlinear_flag
b-catenin,thetaP,-0.7388021282,0.7388021282,0.2432844702,0.07382795388,False
b-catenin,DR,-0.01458085894,0.01458085894,0.00979084749,0.002873674551,True
b-catenin,AR,-0.004670410567,0.004670410567,0.003245262585,0.00103818915,True
b-catenin,etaR,-0.1266739672,0.1266739672,0.087276253,0.02871339954,True
b-catenin,etaM,0.09497484831,0.09497484831,0.0752809387,0.0253533397,True
b-catenin,eta13,0.1919458584,0.1919458584,0.145225899,0.050059346,True
b-catenin,etaB13,0.05867265816,0.05867265816,0.04891111729,0.01536470685,True
b-catenin,etaBM,0.0413959043,0.0413959043,0.03295885211,0.01042737468,True
b-catenin,etaBC,0.02119388921,0.02119388921,0.01514198616,0.004788464884,True
b-catenin,lambdaC,0.02883027223,0.02883027223,0.02398831581,0.007377197237,True
b-catenin,lambdaP,-0.13566829,0.13566829,0.09228220638,0.02515695002,True
b-catenin,lambda5,-0.09949739114,0.09949739114,0.07173881261,0.0247860782,True
b-catenin,rhoB,0.02770468718,0.02770468718,0.0191708805,0.006428692507,True
b-catenin,rho13,0.05617038954,0.05617038954,0.04780540741,0.01306955171,True
APC,thetaP,5222.9289,5222.9289,5128.722852,1522.417881,True
APC,DR,18.33862713,18.33862713,35.23062425,10.82429021,True
APC,AR,20.11162322,20.11162322,33.99427048,11.48923573,True
APC,etaR,475.9928387,475.9928387,744.8111836,234.1791042,True
APC,etaM,-253.5989575,253.5989575,361.6096911,111.8793945,True
APC,eta13,-42.01835183,42.01835183,64.0724287,20.29514186,True
APC,etaB13,-31.79413338,31.79413338,48.8803563,15.15085273,True
APC,etaBM,-38.79331823,38.79331823,61.15358185,19.52989373,True
APC,etaBC,-3.15245943,3.15245943,5.898397226,1.887616324,True
APC,lambdaC,-94.48055607,94.48055607,131.3198404,38.55696143,True
APC,lambdaP,88.75612649,88.75612649,161.3450368,44.91012181,True
APC,lambda5,29.04540109,29.04540109,50.99646334,15.65909808,True
APC,rhoB,-33.28377298,33.28377298,60.54534556,19.30320841,True
APC,rho13,-361.9339099,361.9339099,504.3183994,137.7213157,True
HOXA5,thetaP,0.3170259597,0.3170259597,0.2275839797,0.06877521251,True
HOXA5,DR,0.0418621822,0.0418621822,0.01630881522,0.005209199569,False
HOXA5,AR,0.0108589165,0.0108589165,0.004426868677,0.001569356844,False
HOXA5,etaR,0.322693954,0.322693954,0.110313169,0.03619147793,False
HOXA5,etaM,-0.2114548321,0.2114548321,0.06266847785,0.02034755877,False
HOXA5,eta13,-0.03207755019,0.03207755019,0.04043266456,0.01298055756,True
HOXA5,etaB13,-0.01109012812,0.01109012812,0.01482085188,0.004462599778,True
HOXA5,etaBM,-0.04600656898,0.04600656898,0.0418641261,0.01276711583,True
HOXA5,etaBC,-0.02896749804,0.02896749804,0.02095181791,0.006526681085,True
HOXA5,lambdaC,-0.06894167387,0.06894167387,0.0209001502,0.005987273429,False
HOXA5,lambdaP,0.0343020088,0.0343020088,0.04196423148,0.01245791602,True
HOXA5,lambda5,0.02425136697,0.02425136697,0.03383428834,0.01142852394,True
HOXA5,rhoB,-0.006289978114,0.006289978114,0.006647389434,0.002133927031,True
HOXA5,rho13,-0.01574928115,0.01574928115,0.02335524405,0.006477432901,True
HOXA13,thetaP,-0.8749135721,0.8749135721,0.5535246192,0.167420956,True
HOXA13,DR,-0.01729594868,0.01729594868,0.01699171715,0.005707754424,True
HOXA13,AR,-0.003503812234,0.003503812234,0.003737286449,0.001126888333,True
HOXA13,etaR,-0.1095979424,0.1095979424,0.09949642732,0.03180029319,True
HOXA13,etaM,0.0886672408,0.0886672408,0.09178532885,0.03222978748,True
HOXA13,eta13,0.1359289393,0.1359289393,0.1270767524,0.04431835873,True
HOXA13,etaB13,0.2706704267,0.2706704267,0.2129841363,0.06574208169,True
HOXA13,etaBM,0.09814848039,0.09814848039,0.08057281152,0.02540665391,True
HOXA13,etaBC,0.01459809727,0.01459809727,0.01409894663,0.004410677145,True
HOXA13,lambdaC,0.02119719781,0.02119719781,0.02232724471,0.006758214629,True
HOXA13,lambdaP,-0.1213233754,0.1213233754,0.1128980186,0.03101503226,True
HOXA13,lambda5,-0.08469800597,0.08469800597,0.07813753791,0.02746162783,True
HOXA13,rhoB,0.02324824012,0.02324824012,0.02005761484,0.006566725239,True
HOXA13,rho13,0.05375957664,0.05375957664,0.05989540226,0.01725426962,True
MYC,thetaP,-0.8199447071,0.8199447071,0.4589588011,0.1483353485,True
MYC,DR,-0.01720159888,0.01720159888,0.01487382386,0.004774533739,True
MYC,AR,-0.003900048798,0.003900048798,0.00396103654,0.001202575476,True
MYC,etaR,-0.1245274545,0.1245274545,0.109032825,0.03631336467,True
MYC,etaM,0.09719246757,0.09719246757,0.09291092143,0.031759354,True
MYC,eta13,0.1600778668,0.1600778668,0.1456674145,0.04817656419,True
MYC,etaB13,0.04945244949,0.04945244949,0.0474683711,0.01417506635,True
MYC,etaBM,0.3583943611,0.3583943611,0.2739043868,0.09187780426,True
MYC,etaBC,0.01735041501,0.01735041501,0.01552941035,0.004813091579,True
MYC,lambdaC,0.02347177361,0.02347177361,0.02392854593,0.006797370948,True
MYC,lambdaP,-0.1331521929,0.1331521929,0.1228346835,0.03271858404,True
MYC,lambda5,-0.08625702958,0.08625702958,0.07006907902,0.0232062264,True
MYC,rhoB,0.02645524283,0.02645524283,0.02288053111,0.007451637594,True
MYC,rho13,0.05795100111,0.05795100111,0.0609379095,0.01725136543,True
RA,thetaP,0.1133358704,0.1133358704,0.06801160089,0.02140463183,True
RA,DR,0.09967778657,0.09967778657,0.0193875975,0.006304577553,False
RA,AR,0.011095692,0.011095692,0.002297936293,0.0008098760908,False
RA,etaR,0.01772435013,0.01772435013,0.01618881898,0.005308165511,True
RA,etaM,-0.01392138745,0.01392138745,0.01406261766,0.004678776308,True
RA,eta13,-0.01905825243,0.01905825243,0.01777463406,0.006097544344,True
RA,etaB13,-0.006228726486,0.006228726486,0.006541333894,0.001974619885,True
RA,etaBM,-0.006289032138,0.006289032138,0.006535824789,0.002029403038,True
RA,etaBC,-0.0395506723,0.0395506723,0.02563602495,0.00800541062,True
RA,lambdaC,-0.101217656,0.101217656,0.01884485366,0.00623303117,False
RA,lambdaP,0.01623925591,0.01623925591,0.0155035128,0.004215093721,True
RA,lambda5,0.01452478823,0.01452478823,0.01430724344,0.004940202763,True
RA,rhoB,-0.003350722956,0.003350722956,0.003043035078,0.0009776584209,True
RA,rho13,-0.00736059708,0.00736059708,0.007670744552,0.002205168202,True
CYP26A1,thetaP,-0.8079464131,0.8079464131,0.4754824253,0.1471147485,True
CYP26A1,DR,0.02830908388,0.02959235368,0.01640192332,0.004418937814,True
CYP26A1,AR,0.008795688847,0.008795688847,0.003604104686,0.001092088817,False
CYP26A1,etaR,-0.112473077,0.112473077,0.09935924197,0.0336783781,True
CYP26A1,etaM,0.090220017,0.090220017,0.08578524774,0.0284140234,True
CYP26A1,eta13,0.1480969562,0.1480969562,0.1265532661,0.04327110938,True
CYP26A1,etaB13,0.04949478217,0.04949478217,0.04893392372,0.01449647389,True
CYP26A1,etaBM,0.04239698335,0.04239698335,0.04166818113,0.01343772904,True
CYP26A1,etaBC,0.4001512953,0.4001512953,0.2645296869,0.08206362387,True
CYP26A1,lambdaC,-0.05932942228,0.05932942228,0.01596164086,0.00482699084,False
CYP26A1,lambdaP,-0.122800052,0.122800052,0.1070858348,0.02931561388,True
CYP26A1,lambda5,-0.09563400031,0.09563400031,0.0800038764,0.02810601599,True
CYP26A1,rhoB,0.02636581849,0.02636581849,0.02189385731,0.00693002132,True
CYP26A1,rho13,0.05659013319,0.05659013319,0.05683197027,0.01632287948,True
Stemness,thetaP,-1.212018017,1.212018017,0.3595932836,0.105766556,False
Stemness,DR,-0.02789000895,0.02789000895,0.02181133333,0.006473765668,True
Stemness,AR,-0.01272997306,0.01272997306,0.009212675064,0.003085005174,True
Stemness,etaR,-0.3049053837,0.3049053837,0.2211164407,0.07248566649,True
Stemness,etaM,0.2216923036,0.2216923036,0.1800187467,0.05969021898,True
Stemness,eta13,0.3374396855,0.3374396855,0.2760079001,0.09390284247,True
Stemness,etaB13,0.2275272573,0.2275272573,0.2092915815,0.06512797331,True
Stemness,etaBM,0.1000983256,0.1000983256,0.07878852231,0.02573801467,True
Stemness,etaBC,0.0569835739,0.0569835739,0.04091371853,0.0124239889,True
Stemness,lambdaC,0.07387621932,0.07387621932,0.06496158026,0.02051835329,True
Stemness,lambdaP,-0.2188675877,0.2188675877,0.1561188254,0.04355867965,True
Stemness,lambda5,-0.165242615,0.165242615,0.1223385111,0.04126082381,True
Stemness,rhoB,0.06165029865,0.06165029865,0.04627641691,0.01586696016,True
Stemness,rho13,0.1171016007,0.1171016007,0.1031706439,0.02809198271,True
