param,local_norm,morris_norm,sobol_norm,consensus,verdict
MCsynth,0.996216,1,1,0.998739,keep
v16,1,0.778109,0.711865,0.829991,keep
kp5,0.423693,0.51442,0.896847,0.611653,keep
gamma1,0.466779,0.537721,0.575221,0.526574,keep
kp6,0.511757,0.39029,0.489444,0.46383,keep
k14,0.50125,0.561277,0.15999,0.407506,keep
k8,0.238982,0.241087,0.57352,0.351196,keep
km5,0.24344,0.255555,0.140749,0.213248,keep
k7,0.237899,0.248724,0.152887,0.21317,keep
km6,0.232578,0.222616,0.173332,0.209509,keep
retef,0.230527,0.185403,0.0458295,0.15392,keep
kp1,0.0399478,0.282544,0.107974,0.143488,keep
k21,0.019711,0.143669,8.55575e-06,0.0544628,keep
v19,0.0254649,0.120566,0.0013989,0.0491433,keep
k2,0.0277061,0.111804,0.000799526,0.0467698,keep
kp3,0.00551996,0.132338,1.3525e-05,0.0459572,keep
v17,0.0499283,0.04566,0.00657298,0.0340537,fix
k23,0.0255059,0.0727557,0.000473378,0.0329117,keep
wntef,0.00426662,0.0932106,6.88327e-06,0.0324947,keep
v18,0.0191851,0.0665378,1.05008e-05,0.0285778,keep
k10,0.00701898,0.07795,1.07387e-05,0.0283266,keep
km9,0.0109598,0.0661323,1.26836e-05,0.0257016,keep
k15,0.0351332,0.0257104,0.00940754,0.0234171,fix
k20,0.00777026,0.0621071,5.89653e-06,0.0232944,keep
k22,0.0106549,0.0448921,1.16012e-05,0.0185195,fix
kp4,0.0144049,0.000491929,6.76513e-06,0.00496788,fix
km1,0.0066267,0.0032387,4.51932e-05,0.00330353,fix
kp9,0.0072828,0.000616089,7.98607e-06,0.00263562,fix
km4,0.00510407,0.000565483,7.81069e-06,0.00189246,fix
km3,0.0042265,0.000592846,1.13541e-05,0.00161023,fix
