param,RA,CYP26A1,APC,b-catenin,HOXA5,MYC,HOXA13,Bcat-TCF,Stemness
kp1,0.0871682,0.0015782,0.0299557,-0.00824766,0.000114178,-0.000282818,-7.07826e-06,-0.00379943,-0.00914649
km1,-0.00812051,-0.00415876,-0.00381774,-0.00199879,-0.000101311,0.000196901,2.93467e-07,4.95462e-05,-0.00196534
k2,0.0286919,-0.000449482,0.0156162,-0.00928587,0.000337201,-0.000732529,2.87072e-07,-0.00573535,-0.00970868
kp3,0.000589455,-0.000589772,0.00160202,-0.00252009,6.26066e-05,-0.000138726,9.684e-08,-0.0013014,-0.00257281
km3,0.00105152,0.00324905,0.000238334,-0.00196149,-2.36129e-05,3.65147e-05,6.36521e-07,-0.000535433,-0.00200947
kp4,0.00128786,-0.00255072,-0.00152085,0.00486687,-7.87661e-06,4.41373e-05,5.93854e-06,0.00170799,0.00498165
km4,-0.000547947,-0.000157823,0.000306793,-0.00245642,-1.6989e-06,-8.98412e-06,-1.22774e-06,-0.000810525,-0.00250766
kp5,-0.829969,-0.000302541,-0.239746,0.112602,-0.00128226,0.00323279,7.33021e-05,0.0484193,0.120349
km5,0.493577,-0.00790104,0.140948,-0.0611397,0.000751563,-0.00186896,-4.39175e-05,-0.026661,-0.0656265
kp6,0.827009,-1.01041,0.241245,-0.117623,0.00138368,-0.00346673,-7.50353e-05,-0.0509599,-0.125441
km6,-0.416116,0.501802,-0.11614,0.0493274,-0.000536511,0.00136655,3.26754e-05,0.0210727,0.0530356
k7,0.416434,-0.503494,0.116822,-0.0514329,0.000562559,-0.00143237,-3.39677e-05,-0.0220025,-0.0551847
k8,-0.491595,0.00914602,-0.139101,0.0611785,-0.000724703,0.00181497,4.06574e-05,0.0265435,0.0656251
kp9,0.000188057,-0.0014239,0.00354251,-0.00102654,0.00018886,-0.000387766,-1.28356e-06,-0.00171639,-0.00106312
km9,-0.00262421,0.000556944,-0.0030494,0.00333686,-8.71957e-05,0.000194098,3.11819e-06,0.00174372,0.00343707
k10,-0.00158484,-0.00509041,-0.000821909,0.000623805,3.81101e-05,-7.29657e-05,4.61193e-06,-0.000130542,0.00067713
k14,-0.83622,1.00866,-0.241188,0.112207,-0.00132519,0.00331984,7.29752e-05,0.0486414,0.119967
k15,0.000987925,-0.00292798,-0.001687,0.00158934,-0.00405081,0.00031105,-1.39387e-06,0.00174494,0.00160209
v16,1.65986,-2.02435,0.479577,-0.223642,0.00269051,-0.00671322,-0.000145575,-0.0972251,-0.239068
v17,9.36349e-05,0.00138084,0.00627961,-0.0073248,0.00414577,-0.000552217,-4.53538e-06,-0.00439778,-0.00749835
v18,-0.00167411,-0.00465364,-0.00298424,0.0070344,-6.64118e-06,5.73834e-05,6.72578e-06,0.00254687,0.00721849
v19,0.0306879,0.00060556,0.00921016,-0.00550605,-0.000131324,0.000233469,-9.61215e-06,-0.000858329,-0.00590805
k20,-0.000516789,0.00332644,0.00196726,-0.00343771,6.48448e-05,-0.000149673,5.86389e-07,-0.00164577,-0.00351049
k21,-0.000662828,0.00596166,0.00474821,-0.00573537,0.000173855,-0.000379968,-5.99957e-06,-0.00307889,-0.00588595
k22,0.00071812,0.00101947,0.0023222,-0.00528199,9.09793e-05,-0.000212409,3.14149e-07,-0.00251704,-0.00538196
k23,-0.0326315,-0.00086093,-0.0130507,0.00630344,-7.80945e-05,0.000195791,7.01685e-06,0.00272589,0.00672987
MCsynth,-1.6621,2.01138,-0.48109,0.219889,-0.00265507,0.00662433,0.000148145,0.0956726,0.23531
gamma1,-0.000881516,0.00430599,0.00869221,-0.000404664,0.021508,-0.0470257,9.57111e-07,-0.390766,-0.000632477
retef,-0.00104659,0.000944751,0.152273,-0.072243,0.000818292,-0.00207259,-5.51353e-05,-0.0310482,-0.077182
wntef,0.00141398,0.00343362,4.47048e-05,2.63987e-05,-6.45863e-05,0.000127879,-2.68161e-06,0.000437478,-2.40293e-06
