output,param,mu_star,sigma,mu,nonlinear
RA,MCsynth,0.523415,0.402618,-0.430765,yes
RA,v16,0.425098,0.378301,0.314491,yes
RA,k14,0.329122,0.197027,-0.329122,yes
RA,kp6,0.254858,0.236187,0.220023,yes
RA,kp5,0.251567,0.236132,-0.22123,yes
RA,k8,0.157286,0.188338,-0.0731129,yes
RA,km5,0.144435,0.148131,0.113982,yes
RA,km6,0.141656,0.183611,-0.0467092,yes
RA,k7,0.128403,0.120924,0.128403,yes
RA,kp1,0.112371,0.254501,0.0565083,yes
RA,k21,0.0562924,0.197466,-0.00043389,yes
RA,gamma1,0.0559242,0.189054,0.0558012,yes
RA,kp3,0.0559145,0.189065,-0.0557394,yes
RA,v19,0.0444376,0.1522,-0.011364,yes
RA,wntef,0.0397998,0.150617,0.0160525,yes
RA,k2,0.0373755,0.137714,0.0373755,yes
RA,k23,0.0320783,0.135823,-0.0320636,yes
RA,v18,0.0280707,0.136666,-0.0279786,yes
RA,km9,0.0280131,0.136662,0.0279713,yes
RA,k10,0.0279848,0.13668,-0.0279327,yes
RA,k20,0.0279669,0.13668,-0.0279242,yes
RA,k22,0.0183276,0.0884187,0.018252,yes
RA,v17,0.0157427,0.0763895,0.0156521,yes
RA,km1,0.00120961,0.00156591,-0.00118209,yes
RA,k15,0.000320871,0.00120877,0.000309035,yes
RA,km3,0.00018705,0.000271689,-0.000123148,yes
RA,retef,0.000158989,0.000257865,-2.49223e-05,yes
RA,kp4,0.000144839,0.000255244,-5.92032e-05,yes
RA,kp9,8.49524e-05,0.000145282,1.87272e-05,yes
RA,km4,7.04193e-05,0.000108404,2.98466e-05,yes
CYP26A1,kp1,0.0158634,0.0456276,-0.00279466,yes
CYP26A1,MCsynth,0.0142228,0.0458045,0.0142228,yes
CYP26A1,gamma1,0.011063,0.0385569,-0.011063,yes
CYP26A1,k21,0.00932902,0.0330117,-2.2633e-06,yes
CYP26A1,k14,0.0089681,0.0306469,0.0089681,yes
CYP26A1,kp3,0.00820203,0.0280714,0.00820202,yes
CYP26A1,kp5,0.00725574,0.0344467,0.00725574,yes
CYP26A1,v16,0.0064973,0.0273953,-0.0064973,yes
CYP26A1,k2,0.00631505,0.030931,-0.00631236,yes
CYP26A1,k10,0.00539777,0.0264418,0.00539776,yes
CYP26A1,v19,0.00528009,0.0247744,0.00528009,yes
CYP26A1,wntef,0.0051464,0.0189027,-0.00236798,yes
CYP26A1,v18,0.00395797,0.0191576,0.00395797,yes
CYP26A1,k23,0.00391225,0.019166,0.00391224,yes
CYP26A1,km9,0.00390335,0.0191205,-0.00390253,yes
CYP26A1,k20,0.00358521,0.0175639,0.00358521,yes
CYP26A1,k22,0.00223465,0.0099822,-0.00179821,yes
CYP26A1,km6,0.000657186,0.00177033,0.000657186,yes
CYP26A1,k8,0.00043344,0.00146814,0.00043344,yes
CYP26A1,kp6,0.000220458,0.001062,-0.000220458,yes
CYP26A1,v17,0.000219783,0.00107125,0.000217458,yes
CYP26A1,km5,0.00021846,0.00107011,-0.000218459,yes
CYP26A1,k7,1.83411e-06,1.11118e-06,-1.83411e-06,yes
CYP26A1,retef,9.25106e-07,3.33215e-06,-9.12904e-07,yes
CYP26A1,km4,7.08031e-07,3.1264e-06,-5.55833e-07,yes
CYP26A1,km1,7.04026e-07,3.36113e-06,-7.0131e-07,yes
CYP26A1,km3,5.22761e-08,2.07601e-07,-3.56877e-08,yes
CYP26A1,kp4,8.59463e-09,1.92117e-08,3.53938e-09,yes
