output,param,S1,ST,S1_conf,ST_conf
RA,kp1,0.018261,0.030687,0.0751477,0.0725342
RA,km1,0.00118085,1.11128e-05,0.00151261,8.9081e-06
RA,k2,0.00426301,0.000193405,0.00488343,0.000206553
RA,kp3,0.000110016,3.06505e-07,0.000183955,4.28261e-07
RA,km3,-0.00016753,8.90046e-07,0.000500857,8.01721e-07
RA,kp4,0.000114826,7.59142e-07,0.000426139,1.02062e-06
RA,km4,0.000199957,2.54627e-07,0.000175746,2.65926e-07
RA,kp5,0.174614,0.398836,0.232627,0.283267
RA,km5,0.0314011,0.0605585,0.114203,0.0848391
RA,kp6,0.183001,0.264365,0.259435,0.170628
RA,km6,0.0114671,0.0808377,0.113043,0.080923
RA,k7,0.163224,0.0650347,0.123321,0.0792187
RA,k8,-0.0909238,0.278932,0.255599,0.185825
RA,kp9,0.00010319,2.52581e-07,0.000247265,2.48327e-07
RA,km9,-1.16872e-06,2.37478e-07,0.000220056,2.48286e-07
RA,k10,-4.74494e-05,2.97329e-07,0.000241233,2.87431e-07
RA,k14,0.0314596,0.0989549,0.121704,0.0786997
RA,k15,9.24986e-05,3.61245e-07,0.000195872,4.5634e-07
RA,v16,0.0813159,0.492457,0.345246,0.274274
RA,v17,2.92575e-05,2.82959e-07,0.00023423,2.98373e-07
RA,v18,-7.56607e-05,2.9797e-07,0.000205876,3.2878e-07
RA,v19,0.0123257,0.000381901,0.0134994,0.000319727
RA,k20,9.56441e-05,1.96585e-07,0.000226227,1.84715e-07
RA,k21,0.000158432,5.33092e-07,0.000184293,6.76537e-07
RA,k22,0.000418352,7.91572e-07,0.000390505,1.0289e-06
RA,k23,0.00144576,0.000118506,0.00525566,0.00010244
RA,MCsynth,0.317659,0.550666,0.306913,0.41208
RA,gamma1,0.0978236,0.024092,0.157139,0.0386901
RA,retef,-9.44603e-05,3.65246e-07,0.000394011,2.60595e-07
RA,wntef,-4.37071e-05,4.1922e-07,0.000208547,4.9783e-07
CYP26A1,kp1,0.38396,0.191313,0.850832,0.411091
CYP26A1,km1,-0.00199721,3.17578e-06,0.00704778,1.13444e-05
CYP26A1,k2,-6.93181e-05,1.71649e-06,0.00325221,5.56124e-06
CYP26A1,kp3,-0.0016151,3.23513e-06,0.0057301,1.12029e-05
CYP26A1,km3,0.000139787,8.21069e-08,0.00127524,1.77591e-07
CYP26A1,kp4,-0.000371075,5.37964e-07,0.00245386,1.48121e-06
CYP26A1,km4,0.000104271,1.83061e-07,0.00112749,6.22478e-07
CYP26A1,kp5,0.364177,0.57563,1.4814,0.901467
CYP26A1,km5,0.410467,0.191569,0.848051,0.411358
CYP26A1,kp6,0.130286,0.671281,3.13381,1.22091
CYP26A1,km6,0.359182,0.199532,0.852264,0.425418
CYP26A1,k7,0.428256,0.197998,0.872627,0.420336
CYP26A1,k8,0.273199,0.670404,2.01326,0.757876
CYP26A1,kp9,-0.000332373,6.3486e-07,0.00261963,1.92813e-06
CYP26A1,km9,-0.00067715,5.14325e-07,0.00241294,1.47265e-06
CYP26A1,k10,-0.00160295,2.85957e-06,0.00538096,1.01193e-05
CYP26A1,k14,0.396698,0.214992,0.906843,0.442538
CYP26A1,k15,0.00149653,2.10176e-06,0.00533698,7.22075e-06
CYP26A1,v16,-0.0966365,0.383613,2.08607,1.47574
CYP26A1,v17,-0.000916678,7.19734e-07,0.00232754,1.79322e-06
CYP26A1,v18,-0.00243323,5.43049e-06,0.00829784,1.94092e-05
CYP26A1,v19,-0.00297908,4.78051e-06,0.00693657,1.27032e-05
CYP26A1,k20,-0.00299456,9.15618e-06,0.00992257,3.25852e-05
CYP26A1,k21,0.000296027,4.22056e-08,0.000806687,1.17234e-07
CYP26A1,k22,-0.00036547,1.62173e-07,0.00080734,2.65473e-07
CYP26A1,k23,-0.000260246,1.49922e-06,0.00330211,4.55875e-06
CYP26A1,MCsynth,0.519648,171990,1.52918,246953
CYP26A1,gamma1,-0.376175,0.15424,1.12817,0.463451
CYP26A1,retef,0.00180128,3.86733e-06,0.0068575,1.3566e-05
CYP26A1,wntef,-0.00265042,8.28981e-06,0.00875853,2.9276e-05
APC,kp1,0.0156639,0.0197036,0.0731352,0.0653252
APC,km1,0.000804762,8.62738e-06,0.00144087,1.23697e-05
APC,k2,0.00151227,9.42698e-05,0.00386728,0.000128277
APC,kp3,-8.10619e-05,4.00087e-07,0.000240136,6.68887e-07
APC,km3,-0.000292744,1.06095e-06,0.000477018,1.41433e-06
APC,kp4,-0.000108958,9.53314e-07,0.000559872,1.47483e-06
APC,km4,2.58095e-05,5.82968e-07,0.000414729,8.94858e-07
APC,kp5,0.237382,2.58927,0.337338,3.17428
APC,km5,0.0103478,0.0505668,0.113914,0.0893605
APC,kp6,0.0543748,0.466541,0.240353,0.323325
APC,km6,-0.00875349,0.122706,0.120644,0.109516
APC,k7,0.111663,0.0557046,0.154057,0.0938561
APC,k8,-0.0907978,0.35603,0.335339,0.318488
APC,kp9,-0.000173527,3.90697e-07,0.000329396,5.89683e-07
APC,km9,-3.68587e-05,3.55998e-07,0.000278323,6.09622e-07
APC,k10,-0.000101675,3.41789e-07,0.000201402,4.95362e-07
APC,k14,0.00753538,0.120822,0.151672,0.0889426
APC,k15,5.97379e-06,5.8347e-07,0.000358877,9.08237e-07
APC,v16,-0.0631687,0.549759,0.296919,0.408917
APC,v17,1.89504e-05,3.69586e-07,0.000196782,6.27511e-07
APC,v18,-0.000102229,6.30604e-07,0.000385953,1.00217e-06
APC,v19,0.00767949,0.000167343,0.00829713,0.000175894
APC,k20,1.23658e-05,2.26892e-07,0.000304861,3.90874e-07
APC,k21,3.64991e-05,8.93182e-07,0.00038151,1.6802e-06
APC,k22,0.000179661,5.3317e-07,0.000335826,9.11008e-07
APC,k23,0.000902034,7.19883e-05,0.00435478,9.13026e-05
APC,MCsynth,0.194047,0.481353,0.284856,0.345281
APC,gamma1,0.0868648,0.0164911,0.149689,0.028235
APC,retef,-0.00664485,0.0227382,0.0805097,0.0282698
APC,wntef,-0.000152565,6.87295e-07,0.000352325,1.47607e-06
b-catenin,kp1,-0.013396,0.0668108,0.0437866,0.142051
b-catenin,km1,0.00177145,3.11121e-05,0.00270439,2.05369e-05
b-catenin,k2,0.00999784,0.000967568,0.0133545,0.00111248
b-catenin,kp3,-7.66713e-05,3.00555e-06,0.000808313,3.14745e-06
b-catenin,km3,-0.000302573,4.63105e-06,0.000913786,4.03818e-06
b-catenin,kp4,-0.000249217,3.26116e-06,0.00109494,3.8916e-06
b-catenin,km4,-0.000445791,2.92984e-06,0.00118163,4.50169e-06
b-catenin,kp5,0.150812,0.482623,0.251256,0.485441
b-catenin,km5,-0.00224626,0.083917,0.0629056,0.1554
b-catenin,kp6,0.0926088,0.309757,0.175502,0.206818
b-catenin,km6,-0.00265144,0.102111,0.0909119,0.14505
b-catenin,k7,0.129024,0.0881063,0.0868915,0.149398
b-catenin,k8,-0.175898,0.439773,0.284419,0.294677
b-catenin,kp9,-0.000432074,3.36479e-06,0.00101106,3.74064e-06
b-catenin,km9,-0.000222136,3.38348e-06,0.000642067,4.18061e-06
b-catenin,k10,-0.000432439,2.15774e-06,0.000708159,2.1737e-06
